,,,,R0,Rp,Cp,soc
12.11,0.34,28,66,0.126136380988283,0.081126570043649,4.54105445084271,0.845199999999998
12.11,0.34,28,66,0.126136380988283,0.081126570043649,4.54105445084271,0.841599999999998
12.28,0.34,28,66,0.127907081629737,0.082265423628077,4.60480170572655,0.837999999999998
12.28,0.39,28,66,0.111508737831053,0.07171857444499,4.01444251268468,0.834399999999998
12.28,0.39,-999,66,0.111508737831053,0.07171857444499,-143.229573934714,0.830799999999998
12.28,0.39,-999,-999,0.111508737831053,0.07171857444499,-143.229573934714,0.827199999999998
12.26,0.39,-999,-999,0.111327127508852,0.071601768949151,-142.996301012996,0.823599999999998
12.26,0.24,-999,-999,0.180906582201885,0.116352874542371,-232.368989146119,0.819999999999998
12.26,0.24,28,-999,0.180906582201885,0.116352874542371,6.51284454063197,0.816399999999998
12.26,0.24,28,66,0.180906582201885,0.116352874542371,6.51284454063197,0.812799999999998
12.33,0.24,28,66,0.1819394909094,0.117017205799954,6.55003043931421,0.809199999999997
12.33,0.34,28,66,0.128427875936047,0.082600380564673,4.62355089833944,0.805599999999997
12.33,0.34,28,66,0.128427875936047,0.082600380564673,4.62355089833944,0.801999999999997
12.33,0.34,28,66,0.128427875936047,0.082600380564673,4.62355089833944,0.798399999999997
0.32,0.34,28,66,0.003333083560384,0.002143724394217,0.119994832722516,0.794799999999997
0.32,0.24,28,66,0.004721868377211,0.003036942891807,0.169992679690231,0.791199999999997
0.32,0.24,28,66,0.004721868377211,0.003036942891807,0.169992679690231,0.787599999999997
0.32,0.24,28,66,0.004721868377211,0.003036942891807,0.169992679690231,0.783999999999997
0,0.24,28,66,0,0,0,0.780399999999997
0,-0.39,28,66,0,0,0,0.776799999999997
0,-0.39,28,66,0,0,0,0.773199999999997
0,-0.39,28,66,0,0,0,0.769599999999997
0.05,-0.39,28,66,-0.000454025805501,-0.000292013739597,-0.016345449970215,0.765999999999997
0.05,0.1,28,66,0.001770700641454,0.001138853584428,0.063747254883837,0.762399999999997
0.05,0.1,28,66,0.001770700641454,0.001138853584428,0.063747254883837,0.758799999999997
0.05,0.1,28,66,0.001770700641454,0.001138853584428,0.063747254883837,0.755199999999997
0.9,0.1,28,66,0.031872611546172,0.0204993645197,1.14745058790906,0.751599999999997
0.9,0.83,28,66,0.003840073680262,0.002469802954181,0.138247058784224,0.747999999999997
0.9,0.83,28,66,0.003840073680262,0.002469802954181,0.138247058784224,0.744399999999997
0.9,0.83,28,66,0.003840073680262,0.002469802954181,0.138247058784224,0.740799999999997
0.07,0.83,28,66,0.000298672397354,0.000192095785325,0.010752549016551,0.737199999999997
0.07,0.1,28,66,0.002478980898036,0.001594395018199,0.089246156837371,0.733599999999997
0.07,0.1,29,66,0.002478980898036,0.001594395018199,0.092433519581563,0.729999999999996
0.07,0.1,29,67,0.002478980898036,0.001594395018199,0.092433519581563,0.726399999999996
0.15,0.1,29,67,0.005312101924362,0.003416560753283,0.198071827674778,0.722799999999996
0.15,0.05,29,67,0.010624203848724,0.006833121506567,0.396143655349556,0.719199999999996
0.15,0.05,28,67,0.010624203848724,0.006833121506567,0.382483529303019,0.715599999999996
0.15,0.05,28,66,0.010624203848724,0.006833121506567,0.382483529303019,0.711999999999996
12.48,0.05,28,66,0.883933760213844,0.568515709346343,31.8226296380112,0.708399999999996
12.48,0.44,28,66,0.100447018206119,0.064604057880266,3.61620791341037,0.704799999999996
12.48,0.44,28,66,0.100447018206119,0.064604057880266,3.61620791341037,0.701199999999996
12.48,0.44,28,66,0.100447018206119,0.064604057880266,3.61620791341037,0.697599999999996
12.33,0.44,28,66,0.099239722314218,0.063827566799975,3.57274387598957,0.693999999999996
12.33,0.54,28,66,0.080861995959733,0.052007647022202,2.9111246396952,0.690399999999996
12.33,0.54,28,66,0.080861995959733,0.052007647022202,2.9111246396952,0.686799999999996
12.33,0.54,28,66,0.080861995959733,0.052007647022202,2.9111246396952,0.683199999999996
12.38,0.54,28,66,0.081189903485929,0.052218545834133,2.92292968689591,0.679599999999996
12.38,0.34,28,66,0.128948670242357,0.08293533750127,4.64230009095233,0.675999999999996
12.38,0.34,28,66,0.128948670242357,0.08293533750127,4.64230009095233,0.672399999999996
12.38,0.34,28,66,0.128948670242357,0.08293533750127,4.64230009095233,0.668799999999996
12.28,0.34,28,66,0.127907081629737,0.082265423628077,4.60480170572655,0.665199999999996
12.28,0.54,28,66,0.080534088433538,0.051796748210271,2.89931959249449,0.661599999999996
12.28,0.54,28,66,0.080534088433538,0.051796748210271,2.89931959249449,0.657999999999996
12.28,0.54,28,66,0.080534088433538,0.051796748210271,2.89931959249449,0.654399999999995
12.13,0.54,28,66,0.079550365854953,0.051164051774477,2.86390445089236,0.650799999999995
12.13,0.44,28,66,0.097629994458351,0.062792245359586,3.51479182609517,0.647199999999995
12.13,0.44,28,66,0.097629994458351,0.062792245359586,3.51479182609517,0.643599999999995
12.13,0.44,28,66,0.097629994458351,0.062792245359586,3.51479182609517,0.639999999999995
12.11,0.44,28,66,0.097469021672764,0.062688713215547,3.50899662110573,0.636399999999995
